Time,Device name,c8y_SensorTagTemperature => Temperature,c8y_SensorTagLuxometer => Luxometer,c8y_SensorTagHumidity => Humidity
2023-02-25T16:49:22.000+08:00,SensorTag,27.4,N/A,N/A
2023-02-25T16:49:24.000+08:00,SensorTag,N/A,N/A,49.700160219729916
2023-02-25T16:49:24.000+08:00,SensorTag,N/A,341.92,N/A
2023-02-25T16:49:24.000+08:00,SensorTag,27.8,N/A,N/A
2023-02-25T16:49:26.000+08:00,SensorTag,N/A,N/A,49.90005340657664
2023-02-25T16:49:26.000+08:00,SensorTag,28,N/A,N/A
2023-02-25T16:49:26.000+08:00,SensorTag,N/A,329.92,N/A
2023-02-25T16:49:28.000+08:00,SensorTag,N/A,329.92,N/A
2023-02-25T16:49:28.000+08:00,SensorTag,29.4,N/A,N/A
2023-02-25T16:49:28.000+08:00,SensorTag,N/A,N/A,50.000762951094835
2023-02-25T16:49:30.000+08:00,SensorTag,29,N/A,N/A
2023-02-25T16:49:30.000+08:00,SensorTag,N/A,336,N/A
2023-02-25T16:49:30.000+08:00,SensorTag,N/A,N/A,50.69962615396353
2023-02-25T16:49:32.000+08:00,SensorTag,N/A,294,N/A
2023-02-25T16:49:32.000+08:00,SensorTag,N/A,N/A,50.499732967116806
2023-02-25T16:49:32.000+08:00,SensorTag,29.2,N/A,N/A
2023-02-25T16:49:34.000+08:00,SensorTag,N/A,288,N/A
2023-02-25T16:49:34.000+08:00,SensorTag,N/A,N/A,50.600442511635
2023-02-25T16:49:34.000+08:00,SensorTag,28.6,N/A,N/A
2023-02-25T16:49:36.000+08:00,SensorTag,N/A,258,N/A
2023-02-25T16:49:36.000+08:00,SensorTag,28,N/A,N/A
2023-02-25T16:49:36.000+08:00,SensorTag,N/A,N/A,50.299839780270084
2023-02-25T16:49:38.000+08:00,SensorTag,N/A,270,N/A
2023-02-25T16:49:38.000+08:00,SensorTag,28,N/A,N/A
2023-02-25T16:49:38.000+08:00,SensorTag,N/A,N/A,50.000762951094835
2023-02-25T16:49:40.000+08:00,SensorTag,N/A,N/A,50.000762951094835
2023-02-25T16:49:40.000+08:00,SensorTag,26.4,N/A,N/A
2023-02-25T16:49:40.000+08:00,SensorTag,N/A,270,N/A
2023-02-25T16:49:42.000+08:00,SensorTag,N/A,N/A,49.19966430151827
2023-02-25T16:49:42.000+08:00,SensorTag,N/A,264,N/A
2023-02-25T16:49:42.000+08:00,SensorTag,27,N/A,N/A
2023-02-25T16:49:44.000+08:00,SensorTag,N/A,306,N/A
2023-02-25T16:49:44.000+08:00,SensorTag,26.8,N/A,N/A
2023-02-25T16:49:44.000+08:00,SensorTag,N/A,N/A,49.500267032883194
2023-02-25T16:49:46.000+08:00,SensorTag,27.2,N/A,N/A
2023-02-25T16:49:46.000+08:00,SensorTag,N/A,312,N/A
2023-02-25T16:49:46.000+08:00,SensorTag,N/A,N/A,49.399557488365
